transaction_id,timestamp,room,severity,anomaly_score,violated_count,applicable_count,top_violated_rule
909,2018-07-28 13:50:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
910,2018-07-28 13:50:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
923,2018-07-28 13:50:30,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
931,2018-07-28 13:50:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
941,2018-07-28 13:50:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
942,2018-07-28 13:50:50,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
955,2018-07-28 13:51:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
963,2018-07-28 13:51:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
973,2018-07-28 13:51:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
974,2018-07-28 13:51:20,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
987,2018-07-28 13:51:30,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
995,2018-07-28 13:51:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1005,2018-07-28 13:51:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1006,2018-07-28 13:51:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1019,2018-07-28 13:52:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1027,2018-07-28 13:52:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1037,2018-07-28 13:52:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1038,2018-07-28 13:52:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1051,2018-07-28 13:52:30,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1059,2018-07-28 13:52:40,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1069,2018-07-28 13:52:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1070,2018-07-28 13:52:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1083,2018-07-28 13:53:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1091,2018-07-28 13:53:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1101,2018-07-28 13:53:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1102,2018-07-28 13:53:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1115,2018-07-28 13:53:30,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1123,2018-07-28 13:53:40,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1133,2018-07-28 13:53:50,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1134,2018-07-28 13:53:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1147,2018-07-28 13:54:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1155,2018-07-28 13:54:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1165,2018-07-28 13:54:20,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1166,2018-07-28 13:54:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1179,2018-07-28 13:54:30,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1187,2018-07-28 13:54:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1197,2018-07-28 13:54:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1198,2018-07-28 13:54:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1211,2018-07-28 13:55:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1219,2018-07-28 13:55:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1229,2018-07-28 13:55:20,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1230,2018-07-28 13:55:20,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1243,2018-07-28 13:55:30,A13,HIGH,1.0000,1,1,"[OO_WARM & TEMP_NORMAL & TEMP_STABLE] -> [HEATER_OFF] (conf=0.921, sup=0.110)"
1251,2018-07-28 13:55:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1261,2018-07-28 13:55:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1262,2018-07-28 13:55:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1275,2018-07-28 13:56:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1283,2018-07-28 13:56:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1293,2018-07-28 13:56:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1294,2018-07-28 13:56:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1307,2018-07-28 13:56:30,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1315,2018-07-28 13:56:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1325,2018-07-28 13:56:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1326,2018-07-28 13:56:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1339,2018-07-28 13:57:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1347,2018-07-28 13:57:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1357,2018-07-28 13:57:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1358,2018-07-28 13:57:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1371,2018-07-28 13:57:30,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1379,2018-07-28 13:57:40,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1389,2018-07-28 13:57:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1390,2018-07-28 13:57:50,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1403,2018-07-28 13:58:00,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1411,2018-07-28 13:58:10,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1421,2018-07-28 13:58:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
1422,2018-07-28 13:58:20,A13,HIGH,1.0000,2,2,"[ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM] -> [TEMP_HOT & TEMP_STABLE] (conf=0.932, sup=0.111)"
